Token	Corpus	Speaker_ID	Genre	Type	SemanticRelation	Whole.Genitive	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy2	Possessum.Animacy2	Possessor.Animacy3	Possessor.Animacy5	PossessorThematicity	Possessor.Length	Possessum.Length	New.TTR	ProtoSemanticRelation
bk14.0009.03	Brown	BK14	General Fiction	s	BOD	Christ's body	Christ's	Christ	ProperN	N	body	body	animate	inanimate	animate	animate	-2.602059991	1	1	74	Y
bk14.0031.03	Brown	BK14	General Fiction	s	BOD	Christ's body	Christ's	Christ	ProperN	N	body	body	animate	inanimate	animate	animate	-2.602059991	1	1	78	Y
bk06.0032.04	Brown	BK06	General Fiction	of	BOD	the mangled corpse  of the bearded stranger	the bearded stranger	stranger	CommonN	N	the mangled corpse	corpse	animate	inanimate	animate	animate	-2.602059991	3	3	76.5625	Y
bk06.0012.01	Brown	BK06	General Fiction	s	BOD	the stranger's head	the stranger's	stranger	CommonN	N	head	head	animate	inanimate	animate	animate	-2.602059991	2	1	74.74747475	Y
bk09.0023.02	Brown	BK09	General Fiction	s	BOD	the rider's brains	the rider's	rider	CommonN	N	brains	brains	animate	inanimate	animate	animate	-2.522878745	2	1	70	Y
bk02.0082.01	Brown	BK02	General Fiction	s	BOD	White's arm	White's	White	ProperN	N	arm	arm	animate	inanimate	animate	animate	-2.455931956	1	1	80	Y
bk14.0002.01	Brown	BK14	General Fiction	s	BOD	Jesus's body	Jesus's	Jesus	ProperN	Y	body	body	animate	inanimate	animate	animate	-2.455931956	1	1	75	Y
bk14.0018.01	Brown	BK14	General Fiction	s	BOD	Jesus' inert body	Jesus'	Jesus	ProperN	Y	inert body	body	animate	inanimate	animate	animate	-2.455931956	1	2	67	Y
bk15.0101.01	Brown	BK15	General Fiction	s	BOD	Juanita's eyes	Juanita's	Juanita	ProperN	N	eyes	eyes	animate	inanimate	animate	animate	-2.096910013	1	1	71	Y
bk06.0118.01	Brown	BK06	General Fiction	s	BOD	Papa's slender fingers	Papa's	Papa	ProperN	N	slender fingers	finger	animate	inanimate	animate	animate	-2.096910013	1	2	76	Y
bk14.0122.02	Brown	BK14	General Fiction	s	BOD	Michelangelo's injured eye	Michelangelo's	Michelangelo	ProperN	N	injured eye	eye	animate	inanimate	animate	animate	-2.045757491	1	2	76.31578947	Y
bk18.0137.01	Brown	BK18	General Fiction	s	BOD	Eileen's hand	Eileen's	Eileen	ProperN	N	hand	hand	animate	inanimate	animate	animate	-1.886056648	1	1	82	Y
bk01.0086.03	Brown	BK01	General Fiction	s	BOD	Scotty's chest	Scotty's	Scotty	ProperN	N	chest	chest	animate	inanimate	animate	animate	-1.688246139	1	1	82.35294118	Y
bk01.0148.01	Brown	BK01	General Fiction	s	BOD	Scotty's face	Scotty's	Scotty	ProperN	N	face	face	animate	inanimate	animate	animate	-1.688246139	1	1	71	Y
bj55.0028.01	Brown	BJ55	Learned	s	BOD	the trapper's arms	the trapper's	trapper	CommonN	N	arms	arms	animate	inanimate	animate	animate	-2.823908741	2	1	73	Y
bj53.0023.01	Brown	BJ53	Learned	s	BOD	the patient's hand	the patient's	patient	CommonN	N	hand	hand	animate	inanimate	animate	animate	-1.920818754	2	1	66	Y
bg05.0077.02	Brown	BG05	Non-fiction	s	BOD	Ahmad's blood	Ahmad's	Ahmad	ProperN	N	blood	blood	animate	inanimate	animate	animate	-3.301029996	1	1	81	Y
bg04.0113.02	Brown	BG04	Non-fiction	of	BOD	the dead body  of some rodent	some rodent	rodent	CommonN	N	the dead body	body	animate	inanimate	animate	animate	-3.301029996	2	3	73	Y
bg40.0069.03	Brown	BG40	Non-fiction	s	BOD	a lady's hip	a lady's	lady	CommonN	N	hip	hip	animate	inanimate	animate	animate	-3.301029996	2	1	68	Y
bg41.0088.01	Brown	BG41	Non-fiction	s	BOD	Emmett's lungs	Emmett's	Emmett	ProperN	N	lungs	lungs	animate	inanimate	animate	animate	-3	1	1	71	Y
bg50.0057.01	Brown	BG50	Non-fiction	s	BOD	Suvorov's face	Suvorov's	Suvorov	ProperN	N	face	face	animate	inanimate	animate	animate	-2.397940009	1	1	76	Y
bg04.0108.02	Brown	BG04	Non-fiction	s	BOD	the man's lashes	the man's	man	CommonN	N	lashes	lashes	animate	inanimate	animate	animate	-2.346787486	2	1	81	Y
bg40.0023.01	Brown	BG40	Non-fiction	s	BOD	the fat man's arm	the fat man's	man	CommonN	N	arm	arm	animate	inanimate	animate	animate	-2.301029996	3	1	78	Y
bg18.0092.01	Brown	BG18	Non-fiction	of	BOD	the body  of Charles	Charles	Charles	ProperN	Y	the body	body	animate	inanimate	animate	animate	-2.22184875	1	2	77	Y
bg48.0014.01	Brown	BG48	Non-fiction	s	BOD	Thomas' injured back	Thomas'	Thomas	ProperN	Y	injured back	back	animate	inanimate	animate	animate	-2.022276395	1	2	74	Y
ba19.0059.02	Brown	BA19	Press	s	BOD	Mrs. Dresbach's body	Mrs. Dresbach's	Dresbach	ProperN	N	body	body	animate	inanimate	animate	animate	-2.602059991	2	1	75	Y
ba11.0024.02	Brown	BA11	Press	s	BOD	first baseman Throneberry's head	first baseman Throneberry's	Throneberry	ProperN	N	head	head	animate	inanimate	animate	animate	-2.602059991	3	1	74	Y
bn10.0143.01	Brown	BN10	Adventure Fiction	s	BOD	the lawman's other arm	the lawman's	lawman	CommonN	N	other arm	arm	animate	inanimate	animate	animate	-3.301029996	2	2	77.27272727	Y
bn18.0024.02	Brown	BN18	Adventure Fiction	s	BOD	an animal's entire body	an animal's	animal	CommonN	N	entire body	body	animate	inanimate	animate	animate	-3.301029996	2	2	72	Y
bn01.0088.01	Brown	BN01	Adventure Fiction	of	BOD	the face  of a killer	a killer	killer	CommonN	N	the face	face	animate	inanimate	animate	animate	-3.301029996	2	2	71	Y
bn05.0101.01	Brown	BN05	Adventure Fiction	s	BOD	the pony's feet	the pony's	pony	CommonN	N	feet	feet	animate	inanimate	animate	animate	-3.301029996	2	1	82.05128205	Y
bn11.0111.02	Brown	BN11	Adventure Fiction	s	BOD	each victim's head	each victim's	victim	CommonN	N	head	head	animate	inanimate	animate	animate	-3.301029996	2	1	76	Y
bn04.0143.02	Brown	BN04	Adventure Fiction	s	BOD	a Canadian's face	a Canadian's	Canadian	ProperN	N	face	face	animate	inanimate	animate	animate	-3	2	1	76	Y
bn08.0066.02	Brown	BN08	Adventure Fiction	of	BOD	the murmuring mouths  of the birds	the birds	birds	CommonN	Y	the murmuring mouths	mouths	animate	inanimate	animate	animate	-3	2	3	69	Y
bn02.0138.02	Brown	BN02	Adventure Fiction	s	BOD	Cabot's shoulder	Cabot's	Cabot	ProperN	N	shoulder	shoulder	animate	inanimate	animate	animate	-3	1	1	71	Y
bn04.0165.01	Brown	BN04	Adventure Fiction	of	BOD	the backs  of their wounded , screaming mounts	their wounded, screaming mounts	mount	CommonN	Y	the backs	backs	animate	inanimate	animate	animate	-2.823908741	4	2	78	Y
bn04.0165.01	Brown	BN04	Adventure Fiction	of	BOD	the backs  of their wounded , screaming mounts	their wounded, screaming mounts	mount	CommonN	Y	the backs	backs	animate	inanimate	animate	animate	-2.823908741	4	2	78	Y
bn12.0156.04	Brown	BN12	Adventure Fiction	s	BOD	the animal's face	the animal's	animal	CommonN	N	face	face	animate	inanimate	animate	animate	-2.823908741	2	1	66	Y
bn07.0083.01	Brown	BN07	Adventure Fiction	s	BOD	Carl Dill's arm	Carl Dill's	Carl Dill	ProperN	N	arm	arm	animate	inanimate	animate	animate	-2.698970004	2	1	73	Y
bn09.0136.01	Brown	BN09	Adventure Fiction	s	BOD	the field boss's arm	the field boss's	boss	CommonN	Y	arm	arm	animate	inanimate	animate	animate	-2.698970004	3	1	72	Y
bn11.0030.02	Brown	BN11	Adventure Fiction	s	BOD	William Lewis' chest	William Lewis'	William Lewis	ProperN	Y	chest	chest	animate	inanimate	animate	animate	-2.698970004	2	1	79	Y
bn04.0101.02	Brown	BN04	Adventure Fiction	of	BOD	the chest  of his pony	his pony	pony	CommonN	N	the chest	chest	animate	inanimate	animate	animate	-2.602059991	2	2	72	Y
bn04.0144.01	Brown	BN04	Adventure Fiction	s	BOD	an Indian's face	an Indian's	Indian	ProperN	N	face	face	animate	inanimate	animate	animate	-2.602059991	2	1	75	Y
bn18.0012.01	Brown	BN18	Adventure Fiction	of	BOD	The very faces  of the people	the people	people	CommonN	N	The very faces	faces	animate	inanimate	animate	animate	-2.602059991	2	3	83	Y
bn02.0138.01	Brown	BN02	Adventure Fiction	s	BOD	Lester's hand	Lester's	Lester	ProperN	N	hand	hand	animate	inanimate	animate	animate	-2.602059991	1	1	71	Y
bn02.0149.02	Brown	BN02	Adventure Fiction	of	BOD	the hoofs  of Gavin's stallion	Gavin's stallion	stallion	CommonN	N	the hoofs	hoofs	animate	inanimate	animate	animate	-2.602059991	2	2	76	Y
bn02.0078.01	Brown	BN02	Adventure Fiction	s	BOD	the stallion's quivering neck	the stallion's	stallion	CommonN	N	quivering neck	neck	animate	inanimate	animate	animate	-2.602059991	2	2	71.23287671	Y
bn02.0152.01	Brown	BN02	Adventure Fiction	s	BOD	the mare's neck	the mare's	mare	CommonN	N	neck	neck	animate	inanimate	animate	animate	-2.602059991	2	1	75	Y
bn02.0092.01	Brown	BN02	Adventure Fiction	s	BOD	the stallion's rump	the stallion's	stallion	CommonN	N	rump	rump	animate	inanimate	animate	animate	-2.602059991	2	1	74	Y
bn12.0086.02	Brown	BN12	Adventure Fiction	s	BOD	Arbuckle's blood	Arbuckle's	Arbuckle	ProperN	N	blood	blood	animate	inanimate	animate	animate	-2.522878745	1	1	74.07407407	Y
bn15.0033.01	Brown	BN15	Adventure Fiction	s	BOD	The pilots' heads	The pilots'	pilots	CommonN	Y	heads	heads	animate	inanimate	animate	animate	-2.522878745	2	1	72	Y
bn13.0001.03	Brown	BN13	Adventure Fiction	s	BOD	the Burnsides' glowering faces	the Burnsides'	Burnsides	ProperN	Y	glowering faces	faces	animate	inanimate	animate	animate	-2.455931956	2	2	85.13513514	Y
bn13.0030.02	Brown	BN13	Adventure Fiction	s	BOD	Nate's purpling forehead	Nate's	Nate	ProperN	N	purpling forehead	forehead	animate	inanimate	animate	animate	-2.455931956	1	2	79	Y
bn13.0029.01	Brown	BN13	Adventure Fiction	s	BOD	Nate's head	Nate's	Nate	ProperN	N	head	head	animate	inanimate	animate	animate	-2.455931956	1	1	77	Y
bn12.0136.02	Brown	BN12	Adventure Fiction	s	BOD	the big man's belly	the big man's	man	CommonN	N	belly	belly	animate	inanimate	animate	animate	-2.397940009	3	1	79	Y
bn04.0150.01	Brown	BN04	Adventure Fiction	of	BOD	the twitching body  of the man he had shot	the man he had shot	man	CommonN	N	the twitching body	body	animate	inanimate	animate	animate	-2.397940009	5	3	79	Y
bn12.0123.01	Brown	BN12	Adventure Fiction	s	BOD	the man's flailing fist	the man's	man	CommonN	N	flailing fist	fist	animate	inanimate	animate	animate	-2.397940009	2	2	77	Y
bn12.0156.02	Brown	BN12	Adventure Fiction	s	BOD	the buckskin's halter rope	the buckskin's	buckskin	CommonN	N	halter rope	rope	animate	inanimate	animate	animate	-2.397940009	2	2	66	Y
bn13.0070.03	Brown	BN13	Adventure Fiction	s	BOD	Harmony's dark , brooding eyes	Harmony's	Harmony	ProperN	N	dark , brooding eyes	eye	animate	inanimate	animate	animate	-2.346787486	1	4	70	Y
bn07.0042.05	Brown	BN07	Adventure Fiction	s	BOD	the guard's head	the guard's	guard	CommonN	N	head	head	animate	inanimate	animate	animate	-2.346787486	2	1	79.74683544	Y
bn01.0087.01	Brown	BN01	Adventure Fiction	s	BOD	The girl's thin face	The girl's	girl	CommonN	N	thin face	face	animate	inanimate	animate	animate	-2.259637311	2	2	70	Y
bn02.0009.01	Brown	BN02	Adventure Fiction	of	BOD	the face  of the man he had known	the man he had known	man	CommonN	N	the face	face	animate	inanimate	animate	animate	-2.259637311	5	2	73	Y
bn01.0055.01	Brown	BN01	Adventure Fiction	s	BOD	the girl's head	the girl's	girl	CommonN	N	head	head	animate	inanimate	animate	animate	-2.259637311	2	1	75	Y
bn02.0102.01	Brown	BN02	Adventure Fiction	s	BOD	the horse's neck	the horse's	horse	CommonN	Y	neck	neck	animate	inanimate	animate	animate	-2.259637311	2	1	72	Y
bn04.0084.02	Brown	BN04	Adventure Fiction	s	BOD	their horses' heads	their horses'	horse	CommonN	Y	heads	heads	animate	inanimate	animate	animate	-2.22184875	2	1	80	Y
bn03.0095.01	Brown	BN03	Adventure Fiction	s	BOD	Dean's hand	Dean's	Dean	ProperN	N	hand	hand	animate	inanimate	animate	animate	-2.187086643	1	1	86.36363636	Y
bn02.0107.01	Brown	BN02	Adventure Fiction	of	BOD	the weary though watchful eyes  of two men posted a+few hundred yards away in the windless shelter of the trees	two men posted a+few hundred yards away in the windless shelter of the trees	men	CommonN	Y	the weary though watchful eyes	eyes	animate	inanimate	animate	animate	-2.15490196	8	5	70	Y
bn07.0010.01	Brown	BN07	Adventure Fiction	s	BOD	the lighter man's shoulder	the lighter man's	man	CommonN	N	shoulder	shoulder	animate	inanimate	animate	animate	-2.070581074	3	1	74.22680412	Y
bn05.0084.01	Brown	BN05	Adventure Fiction	s	BOD	Wilson's chest	Wilson's	Wilson	ProperN	N	chest	chest	animate	inanimate	animate	animate	-2.045757491	1	1	75.86206897	Y
bn02.0154.01	Brown	BN02	Adventure Fiction	s	BOD	Gavin's face	Gavin's	Gavin	ProperN	N	face	face	animate	inanimate	animate	animate	-2	1	1	69	Y
bn02.0011.01	Brown	BN02	Adventure Fiction	s	BOD	Gavin's lips	Gavin's	Gavin	ProperN	N	lips	lips	animate	inanimate	animate	animate	-2	1	1	72	Y
bn09.0139.01	Brown	BN09	Adventure Fiction	s	BOD	Lord's hand	Lord's	Lord	ProperN	N	hand	hand	animate	inanimate	animate	animate	-1.903089987	1	1	76	Y
bn13.0093.02	Brown	BN13	Adventure Fiction	s	BOD	Dan's face	Dan's	Dan	ProperN	N	face	face	animate	inanimate	animate	animate	-1.886056648	1	1	81	Y
bn13.0097.01	Brown	BN13	Adventure Fiction	s	BOD	Dan's upper lip	Dan's	Dan	ProperN	N	upper lip	lip	animate	inanimate	animate	animate	-1.886056648	1	2	85	Y
bn03.0080.01	Brown	BN03	Adventure Fiction	s	BOD	Mike's body	Mike's	Mike	ProperN	N	body	body	animate	inanimate	animate	animate	-1.795880017	1	1	70	Y
bn15.0080.01	Brown	BN15	Adventure Fiction	s	BOD	Greg's eyes	Greg's	Greg	ProperN	N	eyes	eyes	animate	inanimate	animate	animate	-1.782516056	1	1	90.12345679	Y
bn15.0157.01	Brown	BN15	Adventure Fiction	s	BOD	Greg's fingers	Greg's	Greg	ProperN	N	fingers	fingers	animate	inanimate	animate	animate	-1.782516056	1	1	84.375	Y
bn15.0019.02	Brown	BN15	Adventure Fiction	s	BOD	Greg's shoulders	Greg's	Greg	ProperN	N	shoulders	shoulders	animate	inanimate	animate	animate	-1.782516056	1	1	77	Y
bn12.0125.01	Brown	BN12	Adventure Fiction	s	BOD	Curt's arm	Curt's	Curt	ProperN	N	arm	arm	animate	inanimate	animate	animate	-1.677780705	1	1	74	Y
bn12.0133.02	Brown	BN12	Adventure Fiction	s	BOD	Curt's brains	Curt's	Curt	ProperN	N	brains	brains	animate	inanimate	animate	animate	-1.677780705	1	1	77	Y
bn12.0087.01	Brown	BN12	Adventure Fiction	s	BOD	Curt's fingers	Curt's	Curt	ProperN	N	fingers	fingers	animate	inanimate	animate	animate	-1.677780705	1	1	74.15730337	Y
bn12.0121.02	Brown	BN12	Adventure Fiction	s	BOD	Curt's fist	Curt's	Curt	ProperN	N	fist	fist	animate	inanimate	animate	animate	-1.677780705	1	1	81	Y
bn12.0146.04	Brown	BN12	Adventure Fiction	s	BOD	Curt's fists	Curt's	Curt	ProperN	N	fists	fists	animate	inanimate	animate	animate	-1.677780705	1	1	74	Y
bn12.0134.02	Brown	BN12	Adventure Fiction	s	BOD	Curt's head	Curt's	Curt	ProperN	N	head	head	animate	inanimate	animate	animate	-1.677780705	1	1	75	Y
bn12.0093.02	Brown	BN12	Adventure Fiction	s	BOD	Jess's face	Jess's	Jess	ProperN	Y	face	face	animate	inanimate	animate	animate	-1.628932138	1	1	75.75757576	Y
bn12.0103.01	Brown	BN12	Adventure Fiction	s	BOD	Jess's swarthy face	Jess's	Jess	ProperN	Y	swarthy face	face	animate	inanimate	animate	animate	-1.628932138	1	2	85.05747126	Y
fnK01.00084.092	Frown	K01	General Fiction	s	BOD	people's backs	people	people	CommonN	N	backs	backs	animate	inanimate	animate	animate	-3.301029996	1	1	86.66666667	Y
fnK21.04193.102	Frown	K21	General Fiction	of	BOD	the blood of Christian children	Christian children	children	CommonN	N	the blood	blood	animate	inanimate	animate	animate	-3.301029996	2	2	72	Y
fnK25.05062.002	Frown	K25	General Fiction	s	BOD	other children's feet	other children	children	CommonN	N	feet	feet	animate	inanimate	animate	animate	-3.301029996	2	1	76	Y
fnK21.04188.012	Frown	K21	General Fiction	s	BOD	a horse's flanks	a horse	horse	CommonN	Y	flanks	flanks	animate	inanimate	animate	animate	-3.301029996	2	1	77	Y
fnK21.04288.042	Frown	K21	General Fiction	of	BOD	the hands of Marranos	Marranos	Marranos	ProperN	Y	the hands	hands	animate	inanimate	animate	animate	-3.301029996	1	2	74	Y
fnK25.05211.002	Frown	K25	General Fiction	of	BOD	the head of Howdy Doody	Howdy Doody	Howdy	ProperN	N	the head	head	animate	inanimate	animate	animate	-3.301029996	2	2	77	Y
fnK25.05151.002	Frown	K25	General Fiction	s	BOD	the lad's eye	the lad	lad	CommonN	N	eye	eye	animate	inanimate	animate	animate	-3	2	1	71	Y
fnK04.00749.062	Frown	K04	General Fiction	of	BOD	lips of a young and intoxicated ensign	a young and intoxicated ensign	ensign	CommonN	N	lips	lips	animate	inanimate	animate	animate	-3	5	1	74	N
fnK21.04374.072	Frown	K21	General Fiction	of	BOD	the sinews of the flesh	the flesh	flesh	CommonN	N	the sinews	sinews	inanimate	inanimate	inanimate	inanimate	-3	2	2	71	Y
fnK03.00571.062	Frown	K03	General Fiction	s	BOD	other people's blood	other people	people	CommonN	N	blood	blood	animate	inanimate	animate	animate	-2.823908741	2	1	86.04651163	N
fnK03.00494.102	Frown	K03	General Fiction	s	BOD	her partner's mustache	her partner	partner	CommonN	N	mustache	mustache	animate	inanimate	animate	animate	-2.823908741	2	1	81.39534884	Y
fnK04.00709.092	Frown	K04	General Fiction	of	BOD	the staring white faces  of the gun crew	the gun crew	crew	CommonN	N	the staring white faces	faces	inanimate	inanimate	collective	collective	-2.698970004	3	4	71	Y
fnK10.01979.002	Frown	K10	General Fiction	s	BOD	the woman's powdered skin	the woman	woman	CommonN	N	powdered skin	skin	animate	inanimate	animate	animate	-2.698970004	2	2	76	Y
fnK03.00487.002	Frown	K03	General Fiction	s	BOD	Dorcas' ear	Dorcas	Dorcas	ProperN	Y	ear	ear	animate	inanimate	animate	animate	-2.602059991	1	1	84	Y
fnK04.00725.012	Frown	K04	General Fiction	of	BOD	the eyes of the exec	the exec	exec	CommonN	N	the eyes	eyes	animate	inanimate	animate	animate	-2.602059991	2	2	76	Y
fnK18.03722.002	Frown	K18	General Fiction	s	BOD	Francesca's mind	Francesca	Francesca	ProperN	N	mind	mind	animate	inanimate	animate	animate	-2.602059991	1	1	86.74698795	Y
fnK24.04818.052	Frown	K24	General Fiction	s	BOD	his old man's lined and shrunken face	his old man	man	CommonN	N	lined and shrunken face	face	animate	inanimate	animate	animate	-2.522878745	3	4	83	Y
fnK24.04909.052	Frown	K24	General Fiction	s	BOD	the man's shifty face	the man	man	CommonN	N	shifty face	face	animate	inanimate	animate	animate	-2.522878745	2	2	76	Y
fnK17.03525.002	Frown	K17	General Fiction	s	BOD	The old man's eyes	The old man	man	CommonN	N	eyes	eyes	animate	inanimate	animate	animate	-2.397940009	3	1	85	Y
fnK17.03398.082	Frown	K17	General Fiction	of	BOD	the balding head of a middle-aged man	a middle-aged man	man	CommonN	N	the balding head	head	animate	inanimate	animate	animate	-2.397940009	3	3	69	Y
fnK10.02039.043	Frown	K10	General Fiction	s	BOD	a man's forearm	a man	man	CommonN	N	forearm	forearm	animate	inanimate	animate	animate	-2.346787486	2	1	78	Y
fnK09.01776.082	Frown	K09	General Fiction	s	BOD	Abner Blossom's mouth	Abner Blossom	Blossom	CommonN	N	mouth	mouth	animate	inanimate	animate	animate	-2.301029996	2	1	79	Y
fnK28.05670.132	Frown	K28	General Fiction	s	BOD	Millie's eyes	Millie	Millie	ProperN	N	eyes	eyes	animate	inanimate	animate	animate	-2.259637311	1	1	80	Y
fnK17.03400.012	Frown	K17	General Fiction	s	BOD	a woman's foot	a woman	woman	CommonN	N	foot	foot	animate	inanimate	animate	animate	-2.259637311	2	1	71	Y
fnK25.05106.072	Frown	K25	General Fiction	s	BOD	the Sultan's heavy brow	the Sultan	Sultan	ProperN	N	heavy brow	brow	animate	inanimate	animate	animate	-2.22184875	2	2	79	Y
fnK25.05118.063	Frown	K25	General Fiction	s	BOD	the Sultan's feet	the Sultan	Sultan	CommonN	N	feet	feet	animate	inanimate	animate	animate	-2.22184875	2	1	83	Y
fnK10.02067.002	Frown	K10	General Fiction	s	BOD	Miss Hubley's bosom	Miss Hubley	Hubley	ProperN	N	bosom	bosom	animate	inanimate	animate	animate	-2.187086643	2	1	78	Y
fnK10.01969.002	Frown	K10	General Fiction	s	BOD	Miss Hubley's alabaster upper chest	Miss Hubley	Hubley	ProperN	N	alabaster upper chest	chest	animate	inanimate	animate	animate	-2.187086643	2	3	85	Y
fnK26.05374.042	Frown	K26	General Fiction	s	BOD	Julie's hair	Julie	Julie	ProperN	N	hair	hair	animate	inanimate	animate	animate	-2.187086643	1	1	75	Y
fnK10.02041.092	Frown	K10	General Fiction	of	BOD	the keen objective mind of Miss Hubley	Miss Hubley	Hubley	ProperN	N	the keen objective mind	mind	animate	inanimate	animate	animate	-2.187086643	2	4	77	Y
fnK09.01788.002	Frown	K09	General Fiction	s	BOD	Ezekiel's hand	Ezekiel	Ezekiel	ProperN	N	hand	hand	animate	inanimate	animate	animate	-2.15490196	1	1	77	Y
fnK26.05278.002	Frown	K26	General Fiction	s	BOD	Mary's skin	Mary	Mary	ProperN	N	skin	skin	animate	inanimate	animate	animate	-2.15490196	1	1	77	Y
fnK09.01822.092	Frown	K09	General Fiction	s	BOD	Count Ilitch's eyes	Count Ilitch	Ilitch	ProperN	Y	eyes	eyes	animate	inanimate	animate	animate	-1.958607315	2	1	72	Y
fnK09.01803.002	Frown	K09	General Fiction	s	BOD	Count Ilitch's powerful right hand	Count Ilitch	Ilitch	ProperN	Y	powerful right hand	hand	animate	inanimate	animate	animate	-1.958607315	2	3	76	Y
fnK24.04897.002	Frown	K24	General Fiction	s	BOD	the rabbi's eyelid	the rabbi	rabbi	CommonN	N	eyelid	eyelid	animate	inanimate	animate	animate	-1.853871964	2	1	75	Y
fnK24.04826.002	Frown	K24	General Fiction	s	BOD	The rabbi's eyes	The rabbi	rabbi	CommonN	N	eyes	eyes	animate	inanimate	animate	animate	-1.853871964	2	1	79	Y
fnK24.04916.062	Frown	K24	General Fiction	s	BOD	the rabbi's fish eyes	the rabbi	rabbi	CommonN	N	fish eyes	eyes	animate	inanimate	animate	animate	-1.853871964	2	2	82	Y
fnK24.04815.002	Frown	K24	General Fiction	s	BOD	the rabbi's somber face	the rabbi	rabbi	ProperN	N	somber face	face	animate	inanimate	animate	animate	-1.853871964	2	2	81	Y
fnK24.04828.022	Frown	K24	General Fiction	s	BOD	the rabbi's head	the rabbi	rabbi	CommonN	N	head	head	animate	inanimate	animate	animate	-1.853871964	2	1	77	Y
fnK24.04909.052	Frown	K24	General Fiction	s	BOD	the rabbi's head	the rabbi	rabbi	CommonN	N	head	head	animate	inanimate	animate	animate	-1.853871964	2	1	76	Y
fnK09.01785.002	Frown	K09	General Fiction	s	BOD	the Count's rather dainty feet	the Count	Count	ProperN	N	rather dainty feet	feet	animate	inanimate	animate	animate	-1.795880017	2	3	77	Y
fnK09.01759.002	Frown	K09	General Fiction	s	BOD	the Count's hand	the Count	Count	ProperN	N	hand	hand	animate	inanimate	animate	animate	-1.795880017	2	1	75	Y
fnK02.00407.073	Frown	K02	General Fiction	s	BOD	Frank's face	Frank	Frank	ProperN	N	face	face	inanimate	inanimate	inanimate	inanimate	-1.744727495	1	1	68	Y
fnJ59.15993.083	Frown	J59	Learned	s	BOD	the black man's body	the black man	man	CommonN	N	body	body	animate	inanimate	animate	animate	-2.698970004	3	1	67	Y
fnJ59.15993.083	Frown	J59	Learned	s	BOD	the white man's eyes	the white man	man	CommonN	N	eyes	eyes	animate	inanimate	animate	animate	-2.698970004	3	1	67	Y
